"Prednasejici","Nazev","Bio","Anotace","Url","YouTube"
"Filip Sedlák ","🎤 Jak jsem dělal pohovor do Google","https://mastodonczech.cz/@krab","<p>V tomto videu přednášející popisuje své zkušenosti s pracovním pohovorem do velké technologické firmy, konkrétně Google, a následným rozhodováním o přestěhování do zahraničí. Původně chtěl mluvit o problémech s nedostatkem integerů v systému Media Board, ale nakonec předává slovo kolegovi Michalovi, který je na toto téma více kvalifikovaný. Poté se zaměřuje na proces pracovního pohovoru do Googlu, který pro něj byl velmi odlišný od běžných pohovorů, na které byl zvyklý.</p>
<p>Popisuje, jak byl doporučen na pozici svým známým, který odcházel z Googlu, a jak se rozhodl podat přihlášku. Poté, co neuspěl u jedné z prvních pozic, se mu nakonec ozval rekrutér. Proces zahrnoval několik telefonátů a následně bylo naplánováno několik kol pohovorů. Jedním z klíčových momentů byl pohovor zaměřený na algoritmy a programování, během kterého dostal úkoly typu hledání slov v osmisměrce a práci s logy.</p>
<p>Další část pohovoru se zaměřovala na návrh systému, kde byl požádán o návrh platformy podobné Street View, kterou by mohli využívat taxikáři. Zde musel navrhnout, jak by se data sbírala, ukládala a přenášela, a jaké technické vybavení by bylo potřeba.</p>
<p>Z pohledu přednášejícího byl celý proces náročný, ale zajímavý. Nejenže musel prokázat své technické znalosti, ale také své schopnosti vést tým a řešit konflikty, což bylo součástí pohovoru zaměřeného na vedení lidí.</p>
<p>Na závěr videa přednášející zmínil, že jeho rodina už delší dobu uvažovala o přestěhování do zahraničí, a proto tuto pracovní nabídku bral jako příležitost získat nové zkušenosti a zlepšit své dovednosti. Plánuje se přestěhovat do Irska, kde by mohl získat novou pracovní pozici a zároveň obnovit své kapitánské papíry. V závěru také vyjádřil svůj obdiv k projektu Media Board a doporučil volné místo v týmu pro ty, kteří se chtějí věnovat DevOps a infrastruktuře.</p>
<p>Filip doporučoval knihu https://www.amazon.com/Cracking-Coding-Interview-Programming-Questions/dp/0984782850</p>
","https://docs.google.com/presentation/d/1vAPAkLOSTeKivvjCpFT8fGvTJnNMqksJ4q5yKX8FkQ0/edit?usp=sharing","https://www.youtube.com/watch?v=q4gQm4jojJQ"
"Jan Horalík","🎤 Prompt Injection","","<p>Přednášející, Honza Horalík, se ve svém videu zabývá problematikou <strong>prompt injection</strong> a <strong>jailbreakingu</strong> v systémech generativní umělé inteligence (AI). Prompt injection je útok, kdy útočník pomocí běžného uživatelského vstupu manipuluje systém tak, aby se choval v rozporu s instrukcemi vývojáře. Tento útok cílí na tzv. <em>systémový prompt</em>, což je sada pokynů, které má AI následovat.</p>
<p>Honza vysvětluje, že při prompt injection útočník často zadává speciální příkazy, které mohou vést k tomu, že AI provede nechtěné operace, například ignoruje původní pokyny a vypíše jinou odpověď. Podobný typ útoku je <strong>jailbreaking</strong>, který cílí přímo na ochranné mechanismy zabudované do modelu umělé inteligence, a obchází tak omezení, která mají zabránit AI v poskytnutí citlivých informací.</p>
<p>Ve videu jsou ukázány různé příklady těchto útoků. Například útočník může vložit do textu větu, která přikáže systému ignorovat původní pokyny a vykonat jinou akci, například jen vypsat &quot;Haha&quot; místo toho, aby překládal text. Dalším příkladem je použití prompt injection k manipulaci s textem e-mailu, kdy AI místo shrnutí zobrazí nepravdivé informace. Prompt injection může mít závažné důsledky, pokud AI má přístup k citlivým datům, jako jsou e-maily a dokumenty, což je případ systému Google Bard.</p>
<p>Přednášející také popisuje <strong>hierarchii instrukcí</strong>, která má pomoci při obraně proti prompt injection. Tato hierarchie stanovuje prioritní pořadí jednotlivých vstupů, aby se zamezilo konfliktům mezi nimi a minimalizovalo riziko útoku.</p>
<p>Závažnost útoku jailbreaking je podle Horalíka vyšší, protože umožňuje obejít vestavěné ochrany AI. I když jailbreaking může vést k tomu, že AI poskytne zakázané informace (například návod na výrobu bomby), většina těchto útoků nezahrnuje přístup k citlivým uživatelským datům, což zmenšuje jejich nebezpečí.</p>
<p>Nakonec Honza zmiňuje švýcarský startup <strong>Lera</strong>, který se zaměřuje na detekci prompt injection útoků. Lera nabízí službu Lera Guard, která umožňuje vývojářům posílat AI prompty k analýze a detekci potenciálních bezpečnostních rizik. Firma také nabízí výukovou hru Gandalf, kde se hráči vžijí do role hackerů a zkouší provádět prompt injection útoky.</p>
<p>Honza závěrem zdůrazňuje, že i když se vylepšují metody obrany proti prompt injection a jailbreaking útokům, jde o komplexní problém, protože systémy generativní AI pracují s přirozeným jazykem, který je velmi složitý a těžko se validuje.</p>
","https://docs.google.com/presentation/d/1etgJfsgDy_LR3eNW1ArESDER-lq1Fasqyx7TH6Tcmog/edit?usp=sharing","https://www.youtube.com/watch?v=zHT_zDYWV20"
"Milan Lempera","🎤 Rok s elektromobilem","https://www.linkedin.com/in/milanlempera/","<p>Přednášející, Milan Lempera, sdílí své zkušenosti s elektromobilem, který používá už více než rok. Důvodem k pořízení nového vozu byla nefunkčnost jeho staré Octavie, a zároveň touha po moderní, technologicky zajímavé hračce. Jako geek, který žije na vesnici v rodinném domě s fotovoltaikou, si vybral šedý Volkswagen ID.3, který splňoval požadavky na malé, nenápadné auto. Vozidlo bylo koupeno jako dvouleté s nájezdem 12 000 km a během 16 měsíců s ním najel dalších 21 000 km.</p>
<p>Přednášející popisuje technické parametry vozu, včetně výkonu 150 kW, zrychlení na 7 vteřin a dojezdu, který se papírově uvádí na 408 km. Ve skutečnosti se dojezd liší v závislosti na způsobu jízdy a podmínkách, reálný dojezd při nabíjení na 80 % je mezi 280 a 320 km. Baterii se snaží udržovat mezi 20 % a 80 %, což znamená, že nabíjí jednou týdně, někdy dvakrát, většinou doma z fotovoltaiky.</p>
<p>Přednášející zmiňuje, že spotřeba elektromobilu je ovlivněna několika faktory, zejména rychlostí a venkovní teplotou. Spotřeba se pohybuje od 12,5 kW při klidné jízdě až po vyšší hodnoty při jízdě na dálnici. Také upozorňuje na vliv vytápění a klimatizace, které mohou výrazně ovlivnit celkovou spotřebu.</p>
<p>Co se týče nabíjení, Milan používá jak domácí nabíjení, tak veřejné nabíječky, přičemž preferuje nabíječky od společnosti E.ON. Nabíjení doma na 80 % trvá přibližně 3,5 hodiny a při využití fotovoltaiky je provozní cena velmi nízká. Na cestách je často výhodné naplánovat nabíjení s přestávkou na oběd, protože rychlonabíjení na veřejných stanicích trvá kolem 30 minut.</p>
<p>Přednášející sdílí i své zkušenosti s delšími cestami, které původně neplánoval. Díky zájmu svého syna o elektromobily však absolvoval výlet až do Berlína a k Baltskému moři. Cesty zvládali bez větších problémů, i když na dálnicích s neomezenou rychlostí se ukázalo, že elektromobil není ideální pro rychlé jízdy.</p>
<p>Celkově hodnotí auto jako skvělou volbu pro druhý vůz do rodiny. Vyzdvihuje jednoduchost ovládání, které usnadňuje každodenní používání, a moderní technologie jako head-up displej, který zlepšuje orientaci v provozu a zpřehledňuje informace při jízdě.</p>
","https://docs.google.com/presentation/d/1DjGQOEuifkzH4lVNIA1wUB5S0-N43iNjK8XBSdCIZ28/edit?usp=sharing","https://www.youtube.com/watch?v=4EM1kx7Nu6Y"
"Miloš Havránek","🎤 L. Casei Securitas","https://www.linkedin.com/in/miloshavranek","<p>Přednášející Miloš Havránek v úvodu svého videa oznamuje, že téma jeho prezentace se bude týkat bezpečnosti a představil svůj vlastní termín &quot;L. Casei Securitas&quot;. Tento termín je inspirován reklamou z jeho mládí, která slibovala lepší zdraví prostřednictvím konzumace konkrétního produktu, přičemž byla tato reklama zveličená. Stejně jako v reklamě i v oblasti bezpečnosti existují podobná přehánění a sliby, které nejsou vždy realistické. Podle přednášejícího je důležité používat zdravý selský rozum, a to jak při vývoji, tak v oblasti bezpečnosti, kde mnohé firmy sledují best practices, ale často přehlížejí klíčové slepé body.</p>
<p>V další části prezentace Havránek ukazuje pyramidu, kterou generoval pomocí ChatGPT. Zelené body znázorňují oblasti, na které se firmy zaměřují a sledují je, žluté body představují potenciální rizika, která by se neměla opomíjet, a červené oblasti jsou ta místa, která firmy zatím neřeší, ale mohou být problémová. Tento model slouží k ilustraci rozdílných přístupů k bezpečnosti.</p>
<p>Havránek dále upozorňuje na to, že firmy by si měly dávat pozor na to, co do svých systémů přidávají. Většina školení se zaměřuje na známé problémy jako SQL injection, ale pouze malý podíl kódu je skutečně autorský, zbytek tvoří závislosti z externích knihoven, o kterých vývojáři často nemají dostatek informací. Jako příklad uvádí knihovny v JavaScriptu, kde může jedna knihovna nahradit jen několik řádků kódu, což však při jejím odstranění může způsobit vážné problémy.</p>
<p>V oblasti bezpečnosti vyzdvihuje důležitost používání repozitory managerů a kontroly podpisů balíčků, což pomáhá zamezit situacím, kdy jsou balíčky nahrazeny jinými verzemi bez vědomí uživatele. Na závěr zmiňuje problematiku public cloudů, jako je GitHub, kde mohou tokeny s neomezeným přístupem představovat riziko pro firmu.</p>
<p>Celkově se Havránek zaměřuje na praktické rady a upozornění ohledně bezpečnosti, klade důraz na pečlivé ověřování závislostí a používání zdravého rozumu při implementaci bezpečnostních opatření.</p>
","https://docs.google.com/presentation/d/1e2b5doe5V0wi0DlxOmBCOKHLKwsu4Q6riUDtTpqEX7o/edit","https://www.youtube.com/watch?v=NJIUXK3lS-o"
"Jiří Pinkas","🎤 DDD + Spring Modulith","https://cz.linkedin.com/in/jirkapinkas","<p>Přednášející začíná tím, že vítá publikum a oznamuje, že bude mluvit o <strong>Domain-Driven Designu (DDD)</strong> a jeho spojení s <strong>Springem</strong>. DDD je koncept, který již používá nějakou dobu a jeho cílem je pomoci s architekturou aplikací, zejména s problémy, které přináší tradiční <strong>monolitické aplikace</strong>.</p>
<p>Na začátku popisuje typickou monolitickou aplikaci, kde jsou všechny entity a logika aplikace uspořádány do jednoho velkého balíčku, což může vést k <strong>„špagetovému monstru“</strong> – neudržitelné a chaotické struktuře, která zpomaluje vývoj. Tento přístup může být zpočátku efektivní, ale s časem se zvyšuje komplexita a s každou změnou může docházet k řetězovým chybám, což může vývojáře frustrovat a demotivovat.</p>
<p>Přednášející upozorňuje na dvě základní cesty, jak se vypořádat s těmito problémy: <strong>mikroservisy</strong> a <strong>modulární monolit</strong>. U mikroservis varuje, že <strong>granularita</strong> (velikost jednotlivých služeb) je zásadní, neboť příliš malá granularita může vést k extrémní komplexitě, kterou je těžké spravovat. Naopak modulární monolit je monolitická aplikace, která je navržena modulárně, což usnadňuje případné oddělení částí aplikace do samostatných mikroservis.</p>
<p>DDD nabízí principy, které pomáhají vyhnout se problémům spojeným s monolitickými a špatně navrženými mikroservisními aplikacemi. Tyto principy zahrnují <strong>modulární strukturu</strong>, <strong>bohaté doménové modely</strong> (Rich Domain Models) a práci s <strong>Bounded Contexts</strong> – logickými oddíly aplikace, které omezují šíření změn. Zvláštní pozornost věnuje <strong>agregátům</strong> v DDD, které slouží jako hranice konzistence a logiky v rámci aplikace a usnadňují práci s transakcemi a testováním.</p>
<p>Dále popisuje novinku ve Spring ekosystému – <strong>Spring Modulith</strong>, který implementuje DDD a jeho best practices do Spring aplikací. Tento modul zajišťuje, že jednotlivé moduly aplikace zůstávají oddělené a že mezi nimi nemůže docházet k nekontrolovanému volání metod. Modul také podporuje <strong>doménové události</strong> (domain events), které umožňují odděleným částem aplikace komunikovat mezi sebou, aniž by byly pevně svázány.</p>
<p>Přednášející zdůrazňuje, že DDD není vhodný pro každou aplikaci. Pokud je aplikace jednoduchá a neobsahuje složitou <strong>byznys logiku</strong>, může být jednodušší použít <strong>anemický model</strong>. Avšak pro aplikace s komplexní logikou doporučuje přejít na <strong>bohatý doménový model</strong>, aby se předešlo budoucím problémům s udržitelností kódu.</p>
<p>Na závěr shrnuje výhody používání DDD a Spring Modulith a zmiňuje, že s tímto přístupem je možné vytvářet aplikace, které jsou modulární, dobře škálovatelné a udržitelné v dlouhodobém horizontu. Pokud vývojáři doposud používali anemický model a mají složitou byznys logiku, měli by zvážit přechod na DDD, aby se vyhnuli neudržitelnému kódu, který přirovnává ke „špagetovému monstru“.</p>
<p>Poznámky z publika:</p>
<p>L. Račanský: ta kniha je strašná, nečtěte ji! (shrnutí na InfoQ https://www.infoq.com/minibooks/domain-driven-design-quickly/)
Tahle je lepší (Lukáš Křečan) https://www.amazon.com/Learning-Domain-Driven-Design-Aligning-Architecture/dp/1098100131</p>
","https://docs.google.com/presentation/d/1GtbMVHhNK7DrKEw4cKfzkKqt7AKRV2OWIUK-j-dEXPY/edit?usp=sharing","https://www.youtube.com/watch?v=_VX1UFATFk4"
"Luboš Račanský","🎤 Talisman","https://witter.cz/@banterCZ","<p>Přednášející, Luboš Račanský, se v úvodu věnuje tématu bezpečnosti a uživatelské přívětivosti, které často stojí proti sobě. Přirovnává bezpečnostní koncepty k černé magii, kterou se pokusí objasnit. Zmiňuje, že většina uživatelů používá komplikovaná hesla, která jsou z hlediska zapamatovatelnosti a bezpečnosti nevhodná, a doporučuje používat spíše náhodně zvolená slova. Varuje před používáním jednoho hesla na více službách a zdůrazňuje výhody password manažerů, které generují unikátní hesla pro každou službu.</p>
<p>Dále mluví o dvoufaktorové autentizaci pomocí SMS, která není zcela bezpečná kvůli riziku malwaru a sociálního inženýrství. Doporučuje přihlašování bez hesel za použití softwarových nebo hardwarových tokenů. Zmiňuje technologie WebAuthn a FIDO2, které poskytují bezpečnější autentizaci.</p>
<p>Račanský vysvětluje, jak funguje asymetrická kryptografie v rámci WebAuthn – uživatel si vygeneruje veřejný a privátní klíč, přičemž veřejný klíč je uložen na serveru. K autentizaci dochází ověřením podpisu privátním klíčem.</p>
<p>Přednášející dále představuje konkrétní hardwarový autentikátor, který jeho tým vyvinul. Zmiňuje, že bankovnictví je silně regulované odvětví a popisuje specifikace směrnic PSD2 a PSD3, zejména co se týče silné autentizace uživatele a tzv. Dynamic Linking, což je svázání autentizačního kódu s konkrétní transakcí.</p>
<p>V technické části prezentace Račanský popisuje klíčové vlastnosti vyvinutého autentikátoru – je vybaven Secure Elementem od firmy Infineon, nevyžaduje baterii, a funguje bez nutnosti instalace dodatečného softwaru. Autentikátor má displej pro zobrazení potvrzované transakce a klávesnici pro zadání PINu.</p>
<p>V závěru popisuje praktické využití autentikátoru, kdy uživatel potvrzuje platbu zadáním čísla účtu, částky a měny. Poté autentikátor zobrazí detaily transakce a po zadání PINu dojde k potvrzení. Račanský zdůrazňuje, že autentikátor je již používán ve dvou zahraničních bankách.</p>
<p>Přednášku zakončuje výzvou, aby si diváci autentikátor vyzkoušeli.</p>
<p>Demo stránka: https://pa-dev-int-weu-stable-fido2-demo-app-01.azurewebsites.net/fido2-demo/login
Manuál: https://www.wultra.com/manuals/hardware-authenticator
Getting Started with WebAuthn: https://www.youtube.com/watch?v=yccBhpdJjJc</p>
","https://drive.google.com/file/d/1Y0jf3tYs3yv6qJ__QW7WA8orRGsQeyf9/view?usp=drive_link","https://www.youtube.com/watch?v=DUu7RUD00qk"
"Filip Staffa","🎤 React server components","","<p>Ve videu přednášející Filip Štafa představuje React Server Components (RSC) a vysvětluje, jak tento nový přístup zjednodušuje vývoj webových aplikací. Na začátku popisuje vývoj jednoduché aplikace v různých obdobích. V roce 1995 by vývojáři načetli data z databáze a po stisknutí tlačítka by stránka znovu načetla veškerý obsah. V roce 2005 už používají JavaScript a AJAX, takže pouze část obsahu se načítá asynchronně, čímž se zlepší uživatelský zážitek. V roce 2015 už nastupují velké JavaScriptové frameworky jako React, což vede k větší komplexitě na straně klienta, kde musí vývojáři řešit stavovou logiku, loading screeny a další UI problémy.</p>
<p>Filip upozorňuje, že moderní React aplikace často trpí problémy s uživatelskou přívětivostí kvůli častému zobrazování loading screenů. S nástupem React Server Components se však vývoj vrací ke konceptu, kdy většina výpočtů a renderování probíhá na serveru. Data se načtou a zobrazí najednou, což zjednodušuje uživatelskou interakci a zlepšuje výkon aplikace. Tento přístup je výhodný tím, že eliminuje potřebu složitého klientského stavu a načítání dat asynchronně. Komponenty jsou vykreslovány na serveru a výsledkem je čisté HTML, které se doručí uživateli bez nutnosti následné klientské hydratace.</p>
<p>Přednášející vysvětluje, že RSC jsou součástí Reactu 19, který je zatím v beta verzi, a pro jejich použití je potřeba meta framework, jako je Next.js. Tento framework podporuje RSC od verze 13, což je zhruba dva roky. Výhodou tohoto přístupu je menší množství kódu a jednodušší vývojářská práce, protože API vrstvy a klientské stavové managementy se stávají méně důležitými. Také zmiňuje, že streamování dat, které React Server Components umožňuje, přináší efektivnější zpracování díky postupným aktualizacím zobrazení na stránce, což může být rychlejší než tradiční přístupy.</p>
<p>V závěru Filip Štafa zdůrazňuje, že hlavní výhodou React Server Components je zjednodušení vývoje tím, že vývojáři nemusí řešit klientský stav a složité UI problémy, zatímco nevýhodou je nutnost používat Next.js, který implementuje dvě různé verze Reactu – jednu pro server a jednu pro klienta.</p>
","https://docs.google.com/presentation/d/1xukBVbrc6piYvDD_lllap9GmMxBucU4n4plrO7b5Two/edit?usp=sharing","https://www.youtube.com/watch?v=bzupbjyV-NU"
"Vojtěch Růžička","🎤 Spring AI","https://www.vojtechruzicka.com/about/","<p>Přednášející Vojta Růžička v tomto videu popisuje základní principy a výhody frameworku Spring, se zaměřením na jeho využití v oblasti umělé inteligence (AI). Vysvětluje, že Spring poskytuje vrstvu abstrakce nad konkrétními implementacemi, což umožňuje snadné přepínání mezi různými platformami bez nutnosti měnit kód aplikace. Tato flexibilita je klíčová zejména v rychle se měnícím prostředí AI, kde neustále vznikají nové funkce a technologie.</p>
<p>Dále zmiňuje, že Spring zjednodušuje práci s daty díky unifikovanému API, které vývojářům umožňuje pracovat s různými typy dat, jako jsou text, obrázky, audio, nebo vlastní strukturovaná data. Zdůrazňuje také schopnost Springu generovat data ve formátu JSON nebo jako instance tříd v Javě, což zjednodušuje jejich další strojové zpracování.</p>
<p>V části věnované pokročilým funkcím popisuje koncept &quot;function calling&quot;, který umožňuje Springu využívat externí API ke zpracování dotazů, které nejsou pokryty interním modelem. Příkladně popisuje scénář, kdy Spring získá aktuální informace o filmech promítaných v Praze pomocí externího API a integruje je s vlastním kontextem.</p>
<p>Další část videa se zaměřuje na výhody vektorových databází, které Spring umí využívat pro efektivní zpracování velkých objemů dat. Vektorové databáze umožňují rychlé vyhledávání na základě podobnosti, což je výhodné například při dotazech na nejednoznačné nebo příbuzné informace.</p>
<p>Na závěr přednášející ukazuje, jak snadné je s frameworkem Spring pracovat a jak abstrahuje od složitých implementačních detailů, což umožňuje i méně zkušeným vývojářům snadno vytvářet výkonné aplikace.</p>
","https://docs.google.com/presentation/d/1V0S-XLpO79DJUz9FeOLH2YzY7D5eFlNiZSiq4mEJaJA/edit#slide=id.g3042c971e74_0_0","https://www.youtube.com/watch?v=ksk_B77Nf_U"
"Jan Novotný ","🎤 Fly with Java Recorder","https://www.linkedin.com/in/jannovotny/","<p>Přednášející v tomto videu vysvětluje, co je to <strong>Java Flight Recorder (JFR)</strong>, a proč jde o užitečný nástroj pro analýzu aplikací běžících v JVM. Na začátku upozorňuje, že mnoho lidí o JFR ví jen povrchně, ale neznají jeho plný potenciál a možnosti. <strong>Java Flight Recorder</strong> je součástí JVM od JDK 11, kdy se stal open-source. Původně byl součástí JVM JRockit a je navržen tak, aby mohl běžet s minimální zátěží i v produkčním prostředí.</p>
<p>JFR zaznamenává události, které probíhají ve virtuálním stroji, s minimální zátěží (1-2 % výkonu), a ukládá je do souboru, který lze později analyzovat. Nahrávání probíhá neustále, přičemž staré záznamy se přepisují, takže se jedná o &quot;lightweight&quot; řešení, které je možné mít zapnuté nepřetržitě. Tento nástroj je vhodný jak pro analýzu výkonu, tak pro detekci problémů, jako jsou <strong>memory leaky</strong> či <strong>nekonečné smyčky</strong>.</p>
<p><strong>Přednášející</strong> zmiňuje, že JFR je vhodný pro <strong>post-mortem analýzy</strong> pádů aplikací – pokud Java spadne, záznamy z JFR mohou poskytnout informace o stavu JVM těsně před pádem. Zajímavou funkcionalitou je i možnost vytvářet vlastní události, což umožňuje sledovat specifické události, které mohou být důležité pro aplikaci.</p>
<p>Využití JFR je také skvělé, když vývojář nemá přístup k zákazníkově infrastruktuře – zákazník může snadno vytvořit JFR záznam, který následně pošle vývojáři k analýze, aniž by bylo potřeba přímého přístupu k serveru. Zmíněná je také možnost <strong>streamování</strong> událostí, kde lze v reálném čase monitorovat to, co se v JVM děje, a filtrovat relevantní informace.</p>
<p>Dále je zmiňována <strong>Java Mission Control</strong> – nástroj pro analýzu JFR záznamů, který je sice komplexní, ale poskytuje obrovské množství dat o tom, jak JVM funguje. Přednášející ukazuje příklady, jak sledovat různé metriky, jako je aktivita garbage kolektoru, chování vláken nebo výskyt výjimek.</p>
<p>Jednou z výhod JFR je i <strong>možnost programového přístupu</strong> k událostem, což znamená, že vývojáři mohou integrovat záznam JFR přímo do svých aplikací a vytvářet vlastní nahrávací mechanizmy pro sledování specifických částí systému.</p>
<p>Přednášející na závěr shrnuje, že JFR je neocenitelným nástrojem pro ladění aplikací, zlepšení výkonu a detekci problémů, zejména v produkčním prostředí, kde jiné metody mohou být příliš nákladné nebo nepraktické.</p>
","https://novoj.github.io/reveal.js/jopenspace2024.html","https://www.youtube.com/watch?v=PLnvKFXs_3c"
"Lubomir Petera","🎤 Retrospektiva","","<p>Přednášející začíná prezentaci tím, že si pro letošní rok obtížně vybíral téma. Přemýšlel o tom, co mu dává tato konference, a uvědomil si, že ho loňská konference velmi inspirovala. Rozhodl se díky ní zhubnout, což je téma, kterému se chce věnovat v rámci prezentace, ale ne na celou dobu. Proto se podíval i na historii konference a zaměřil se na videa, která ho zaujala, a která bude také komentovat.</p>
<p>Přednášející se rozhodl přidat i technické téma – retrospektivu v agilním vývoji. Popisuje, jak retrospektivy probíhají v jejich týmu po každém dvoutýdenním sprintu. Jejich retrospektiva zahrnuje dvě základní otázky: co se líbilo a co ne. Hlavní přínos retrospektivy je, že poskytuje prostor pro vyjádření těm, kteří se běžně nevyjadřují. Tímto způsobem mohou sdělit své připomínky, aniž by museli reagovat v průběhu sprintu. Moderace retrospektivy se střídá mezi členy týmu, což pomáhá zlepšit komunikaci a uvědomění si problému.</p>
<p>Zmiňuje dvě překážky, proč lidé nechtějí retrospektivy dělat: nechtějí poukazovat na problémy a vidí to jako ztrátu času oproti programování. Přednášející zdůrazňuje důležitost komunikace a řešení drobných problémů.</p>
<p>Následně popisuje, kdy retrospektivu nedělat, například v průběhu sprintu. Místo toho by měla probíhat až po dokončení práce na projektu, aby tým nepřerušoval rozpracované činnosti.</p>
<p>Přednášející pak přechází k retrospektivě v osobním životě. Dívá se na předchozí videa z Open Space a zdůrazňuje pocit nostalgie, který retrospektiva přináší. Zmiňuje několik přednášek, které ho zaujaly, včetně technologií, které zastarávají, a jak sdílet znalosti ve firmě.</p>
<p>Dále vypráví o své osobní zkušenosti s hubnutím, kterou zahájil po loňské konferenci. Popisuje, jak postupně zhubnul, přibral a opět zhubnul. Snažil se také běhat, což mu pomohlo cítit se lépe, i když přímo hubnutí nepřineslo očekávané výsledky.</p>
<p>Na závěr se přednášející věnuje krátce i otázce diskuse na internetu a důležitosti pojmenovávání pocitů. Přestože mu došel čas, uzavírá prezentaci několika dalšími poznámkami, a tím celou přednášku uzavírá.</p>
","","https://www.youtube.com/watch?v=8FN09qA_0gY"
