Prednasejici,Nazev,Hodnoceni,URL,Abstrakt,Bio,YouTube
Luboš Račanský,Jak jsem začal s kroužkem programování - přidejte se,15,https://drive.google.com/file/d/10qxaPmrwtPpaBWXIdZsHXbRMBJxcb-L-/view?usp=sharing,"Loňské jOpenSpace mě nakoplo k tomu, abych začal s kroužkem programování. Jaké to bylo?",https://blog.zvestov.cz,
František Řezáč,"Mosty, katastrofy a bytecode",14,https://docs.google.com/presentation/d/1pl2jsQ8SgV0KFsBARc4Ee1-MGSqxBHR23ozxAqd-o7I/edit?usp=sharing,Zkušenosti ze statické analýzy bytecode a jejich implikace pro pochopení spolehlivosti software.,https://calavera.info,https://youtu.be/-3BCl8DTd0U
Lukáš Křečan,Jak postavit koloběžku,13,https://drive.google.com/file/d/16YPKOqzu_r5RLCqUuHmSkwUVmJtVKC0G/view?usp=sharing,,,
Milan Lempera,The state of JavaScript / lesk a bída JS vývoje,13,https://docs.google.com/presentation/d/1TzwMOqvk69hOm2oYakMJMUf79HbDpQX1WqxQeCNTueg/edit?usp=sharing,JavaScript je moderní přístup k programování webových aplikací. Pojďme se na něj ale společně podívat objektivním pohledem.,https://twitter.com/milanlempera,https://youtu.be/Hygknge5sIM
Jan Vondrouš,Geb a proč ho chcete znát,12,https://goo.gl/KPxiMK,,,https://youtu.be/clzVsXzVCIY
Martin Talpa,Odkud se vzalo moderní GUI a web tak jak je známe dnes?,9,https://docs.google.com/presentation/d/1bOFKFkKPGNriPYXDG_XdfjDWQqblBSuBIWHNbIiv3Qg/edit?usp=sharing,"Přednáška vás zavede do dřevních dob IT, kdy teprve vznikaly termíny a technologie, se kterými dnes běžně přicházíme do styku. Ačkoliv budu mluvit o dřevních dobách, možná budete překvapeni, co všechno pionýři našeho průmyslu už tenkrát dokázali.",,https://youtu.be/-HNggcYLBJQ
Tomáš Zvěřina,Flutter,9,https://docs.google.com/presentation/d/1K9d9E-bliH2HP1ioY4lP7vnG3MAJ4rituF9SuZ9s3vU/edit?usp=sharing,,https://fnx.io,https://youtu.be/8_UnGkU1yhI
Roman Pichlík,QA in production,6,,"V přednášce se dozvíte o tom, že testovat v produkci není otázka amatérství - ba právě naopak, pokud se dělá správně. O tom, jak k tomuto nastupujícím trendu přistupujeme v Zonky vám povím něco víc.",,https://youtu.be/ERldZWowXEU
Josef Cacek,Když dáš data z trezoru na síť,6,http://bit.ly/safeToNet,Zkusím vám poodhalit roušku tajemství TLS protokolu a provést rešerši aktuálního stavu na internetu.,,https://youtu.be/fxtBqFcoa_M
Jan Šimonek,TDD turnaj,6,https://drive.google.com/open?id=10ZaU92NOruGw5uALQsOiOegDBfmahyMs,"Jak organizujeme programátorské soutěže. Napište mi na jsimonek@netsuite.com, pokud se chcete dozvědět o turnaji v Praze nebo až bude game engine open-source.",,https://youtu.be/c8v9joCtmFI
Alois Holub,Nomádění s dětmi,6,https://docs.google.com/presentation/d/1JEK1Eok2xn4E8Q43LIXOFCNX5GAUNLzu6OQNfcnpneE/edit?usp=sharing,,,https://youtu.be/6fL5646m-EU
Zdeněk Merta,Continuous Delivery (Gitops),5,http://www.zdenekmerta.com/presentations/jopenspace2018/Jak_delame_Continuous_Deployment.pdf,,https://www.zdenekmerta.com,
David Ondřich,Ig Nobel Prize,5,https://docs.google.com/presentation/d/1CtHw87_VcdNuewoUG-8Sc_GQ87rrcsOJilsmKsGBGiU/edit?usp=sharing,,http://dond.cz/,
Filip Štaffa,Hackování Wi-Fi,5,https://fstaffa.github.io/hacking-wifi-presentation/,Hackněte si svoji Wi-Fi.,,https://youtu.be/xwDBBDN8qM0
Pavel Jetenský,No more Mr. Nice Guy #2,5,http://jetensky.net/nmn,,,https://youtu.be/jHhL2gypvAg
Michal Šrajer,Keynote - Štěstí v práci,4,,,,
Radim Hradecký,Generování otázek z textu,4,http://bit.ly/2DZuEqJ,Dokáže stroj tvořit otázky ze zpracovaného textu? K čemu by to šlo použít a co by (možná) šlo pomocí takového nástroje vytvořit už dnes.,,https://youtu.be/jsoyPoo_MRc
Petr Hamerník,"Machine learning, evaluation",4,https://www.dropbox.com/s/mme15kdfricuulb/jOpenSpace2018-nlp_and_ml.pptx?dl=0,,,https://youtu.be/kO53VWbC7sk
Leoš Přikryl,Lokální vývojářské komunity,3,https://docs.google.com/presentation/d/1yaco4VgcBYzqcCEan8ehmbGkr4KQT0AKeIEw6hOpGD4/edit?usp=sharing,Proč dává smysl zakládat vývojářské komunity i v menších městech a jak to děláme v Jihlavě.,https://twitter.com/leos_prikryl,https://youtu.be/8evP5N7hs0U
Michal Augustýn,Docker a Windows,3,https://docs.google.com/presentation/d/14C3iNqo1cXKK7kU4Z7rpvX4U6qjCqjsdqKySn4Babss/edit?usp=sharing,"Přehled možností, jak využít Docker na platformě Windows",https://www.augi.cz @AugiCZ,https://youtu.be/BIDRp2uaeLA
Lukáš Hasík,Prostor kolem nás,3,https://docs.google.com/presentation/d/188AwhBZl64xyTfDE4eULVFNUp3eQTZuhJSA4PPrstIs/edit?usp=sharing,,,https://youtu.be/PSPDhyzQXW4
Lukáš Kolísko,The things people get wrong about blockchain,2,https://drive.google.com/open?id=1UWYemlHQH7K8FkVGUJ5THXIaXj95lh01botqak7MskY,,https://medium.com/@lkolisko,
Michal Bernhard,Language Server Protocol,2,https://docs.google.com/presentation/d/1lkEGJhGKNc5msSLXkyjQS-Dw9q7YTfKMu8f0R-wUOLs/edit?usp=sharing,"The Language Server protocol is used between a tool (the client) and a language smartness provider (the server) to integrate features like auto complete, go to definition, find all references and alike into the tool: https://langserver.org/",https://twitter.com/michalb_cz,https://youtu.be/xPL7c6XPhMA
Jan Novotný,Validace formulářů,2,https://goo.gl/KznAa9,"Shrnutí zkušeností s validacemi formulářů na webu. Je to problematika, která málokoho zajímavá a přitom znamená desítky procent rozdílu v spokojenosti uživatelů, dokončení formulářů, nákupů a retence uživatelů webu. V rámci lightning talku popíšu, jak jsme k tomu přistoupili my ve Forrestu a ukážu i živé demo.",http://blog.novoj.net,https://youtu.be/UpSeC1pHtI4
Vojta Růžička,Gatsby JS,1,https://www.dropbox.com/s/ak9o9g71msotrgn/GATSBY.pptx?dl=0,Nedávno jsem celý svůj blog www.vojtechruzicka.com migroval na JAM stack Gatsby.JS a v této přednášce bych se s vámi rád podělil o mé nadšení z této technologie.,https://www.vojtechruzicka.com,https://youtu.be/Zjh1zZ73f44
Vladimír Oraný,Micronaut,1,http://slides.com/musketyr/micronaut-jopenspace-2018,Představení nového frameworku Mirconaut a jeho porovnání s ostatními.,http://medium.com/@musketyr,https://youtu.be/Gz7a4-70IlI
Jan Steinbach,Zpovykaní vývojáři aneb jak se buduje plzeňská komunita,1,https://docs.google.com/presentation/d/1NUbOpA3kW-M-0XPZzy0V3leyzmQPwyXoisi6rVshqvQ/edit#slide=id.p,"Podařilo se mi rozhýbat vody plzeňské vývojářské komunity. V tomto talku bych se s vámi o moje postřehy a tipy, které mi zafungovaly.",,https://youtu.be/jwMcMG2DuqM
Radek Teichmann,Rozvoj a sdílení znalostí ve firmě,1,https://goo.gl/ipWgHV,"Víme, že rozvoj a sdílení znalostí je v každé firmě esenciální. Přiblížím vám, jak jsme k tomu přistoupili u nás a popíšu aktivity, které děláme abychom znalosti udrželi a rozvinuli.",https://twitter.com/rteichmann,https://youtu.be/RM1M67ND65E
Martin Strejc,Role náčelníka a šamana,1,https://docs.google.com/presentation/d/1LvyY-puIUHxc5k10Q5bCwJE8gp1-zEwvM8y8hYE3iOs/edit?usp=sharing,,,https://youtu.be/n0L8f0ZZJvE
Radim Kubacki,Streaming data processing,1,https://docs.google.com/presentation/d/13LBYtXq6abAxOZ4WurBQGr0Bsb1cd3pVH4htQE5PRjk/edit?usp=sharing,,,https://youtu.be/uK9U1hjVoaE
Ondřej Chaloupka,Software transaction memory,1,http://chalda.cz/stm/,"Představení software transaction memory, coby modelu řešení běhu vícevláknových aplikcací.",https://twitter.com/_chalda,https://youtu.be/Slq4KcCbQ7Y
Zdeněk Henek,Single Sign On & SAML 2,1,https://docs.google.com/presentation/d/1_YDgaGrk6aZOtmatY38psA9zAu5BtJF-iMDuPD9cOw0/edit?usp=sharing,"Podpora SSO protokolu SAML 2.0 pomůže i malému projektu získat velké zákazníky, pokud je zajímavý i jen pro malou skupinu uživatelů velké firmy.
",https://twitter.com/zdenekhenek,https://youtu.be/F_GAgA2smpE
Martin Jinoch,Ingite talk - proč pořádat konference,0,"slidy nejsou, v domneni, ze podepisuju prezencku, jsem se napsal jako prvni a tedy jsem je nemel pripravene :)","Nesouvisla promluva o tom, jak se muzete sobecky obohatit tim, ze delate neco pro ostatni.",https://www.jinoch.cz,
